Movement,Radar,Shields,Energy,TankState,SurvivalTime
-1,-1,-1,1,0.25,0.0
-1,1,-1,1,1,0.0
-1,1,-1,1,1,0.0017699115044247787
1,1,-1,1,1,0.0035398230088495575
-1,1,-1,1,1,0.005309734513274336
1,1,-1,1,0.5,0.007079646017699115
-1,1,-1,1,0.5,0.008849557522123894
-1,1,-1,1,0.5,0.010619469026548672
-1,1,-1,1,0.5,0.012389380530973451
-1,1,-1,1,1,0.01415929203539823
-1,1,-1,1,1,0.01592920353982301
-1,1,-1,1,0.5,0.017699115044247787
-1,1,-1,1,0.5,0.019469026548672566
-1,1,1,-1,0.5,0.021238938053097345
-1,1,1,-1,0.5,0.023008849557522124
1,1,1,-1,0.75,0.024778761061946902
1,1,1,-1,0.75,0.02654867256637168
1,1,-1,-1,0.75,0.02831858407079646
1,1,-1,-1,0.75,0.03008849557522124
1,1,-1,-1,0.75,0.03185840707964602
1,1,-1,-1,0.75,0.033628318584070796
-1,-1,-1,1,0.25,0.035398230088495575
1,1,-1,1,0.25,0.0
1,-1,-1,1,0.25,0.0017699115044247787
-1,-1,-1,1,1,0.0035398230088495575
1,1,-1,1,1,0.005309734513274336
1,1,-1,1,1,0.007079646017699115
-1,1,-1,1,1,0.008849557522123894
1,1,-1,1,1,0.010619469026548672
-1,1,-1,1,1,0.012389380530973451
-1,1,-1,1,0.5,0.01415929203539823
-1,1,-1,1,0.5,0.01592920353982301
-1,1,-1,1,0.5,0.017699115044247787
-1,1,1,-1,0.5,0.019469026548672566
-1,1,1,-1,0.5,0.021238938053097345
-1,1,1,-1,0.75,0.023008849557522124
-1,1,1,-1,0.75,0.024778761061946902
1,-1,1,-1,0.75,0.02654867256637168
1,-1,-1,-1,0.75,0.02831858407079646
-1,-1,-1,-1,0.25,0.03008849557522124
-1,-1,-1,-1,0.75,0.03185840707964602
-1,-1,-1,-1,0.25,0.033628318584070796
-1,-1,-1,-1,0.75,0.035398230088495575
1,-1,-1,-1,0.25,0.03716814159292035
1,-1,-1,-1,0.75,0.03893805309734513
1,-1,-1,-1,0.75,0.04070796460176991
1,-1,-1,-1,0.75,0.04247787610619469
1,-1,-1,-1,0.75,0.04424778761061947
1,-1,-1,-1,0.75,0.04601769911504425
1,-1,-1,-1,0.75,0.047787610619469026
1,-1,-1,-1,0.75,0.049557522123893805
1,-1,-1,-1,0.75,0.05132743362831858
1,-1,-1,-1,0.75,0.05309734513274336
1,-1,-1,-1,0.75,0.05486725663716814
1,-1,-1,-1,0.75,0.05663716814159292
1,-1,-1,-1,0.75,0.0584070796460177
1,-1,-1,-1,0.75,0.06017699115044248
1,-1,-1,1,0.25,0.061946902654867256
1,-1,-1,1,0.25,0.06371681415929203
1,-1,-1,1,0.25,0.06548672566371681
1,-1,-1,1,0.25,0.06725663716814159
-1,-1,-1,1,0.25,0.06902654867256637
1,1,-1,1,0.25,0.07079646017699115
1,-1,-1,1,0.25,0.07256637168141593
1,-1,-1,1,0.25,0.0743362831858407
1,-1,-1,1,0.25,0.07610619469026549
-1,-1,-1,1,1,0.07787610619469026
1,1,-1,1,1,0.07964601769911504
-1,1,-1,1,1,0.08141592920353982
-1,1,-1,1,0.5,0.0831858407079646
-1,1,-1,1,0.5,0.08495575221238938
-1,1,-1,1,0.5,0.08672566371681416
-1,1,1,1,0.5,0.08849557522123894
-1,1,1,-1,0.5,0.09026548672566372
-1,1,1,-1,0.5,0.0920353982300885
-1,1,-1,-1,0.5,0.09380530973451327
1,1,-1,-1,0.25,0.09557522123893805
-1,-1,-1,-1,1,0.09734513274336283
-1,1,-1,-1,1,0.09911504424778761
1,1,-1,-1,1,0.10088495575221239
-1,1,-1,-1,1,0.10265486725663717
-1,1,-1,-1,0.5,0.10442477876106195
-1,1,-1,-1,0.5,0.10619469026548672
-1,1,1,-1,0.75,0.1079646017699115
-1,-1,-1,-1,0.75,0.10973451327433628
-1,-1,-1,-1,0.75,0.11150442477876106
